trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,EMASlow,RatioTP
2274,6251.9000000000015,62.51900000000001,1.0402608185454134,46.045167573210065,28.58399296394019,0.9602515247999828,False,6251.9000000000015,40,45,80,4.5
2247,6198.230000000001,61.98230000000001,1.0403893787825353,45.17404771362274,28.48242100578549,0.9927333589595748,False,6198.230000000001,40,45,85,4.5
2246,5802.64,58.0264,1.0378390877573078,43.59837196061861,28.584149599287624,0.9555508714611302,False,5802.64,35,45,80,4.5
2205,5689.190000000001,56.89190000000002,1.0376483690938982,47.60676456580528,28.253968253968253,0.8934871376071868,False,5689.190000000001,40,45,95,4.5
2181,5674.029999999999,56.74029999999999,1.0380103374977232,43.777864907075156,28.473177441540575,0.9428118041939446,False,5674.029999999999,30,45,85,4.5
2184,5662.449999999999,56.62449999999999,1.03796059852845,41.90863702449859,28.388278388278387,1.0578462527158627,False,5662.449999999999,35,45,90,4.5
2135,5658.25,56.5825,1.0386672828010224,51.172799999999974,28.337236533957842,0.9939082335458193,False,5658.25,25,45,90,4.5
2214,5601.840000000002,56.01840000000002,1.0369352055441579,46.36016507022631,28.545618789521228,0.8467455594469547,False,5601.840000000002,30,45,80,4.5
2211,5542.170000000001,55.42170000000001,1.03673634802983,42.23196794402517,28.493894165535956,0.9976185333189334,False,5542.170000000001,35,45,85,4.5
2157,5469.289999999999,54.69289999999999,1.036976918269456,45.92776877145238,28.326379230412613,0.8912864220063883,False,5469.289999999999,30,45,90,4.5
2182,5397.099999999997,53.97099999999997,1.0352103418497465,38.8381513948628,27.360219981668195,1.0108500010301225,False,5397.099999999997,25,30,180,5.0
2234,5360.049999999999,53.6005,1.035088161456407,44.15270000000001,28.558639212175468,0.8807296185293263,False,5360.049999999999,30,45,75,4.5
2271,5290.050000000001,52.90050000000001,1.0341280623759606,43.612182728819796,28.533685601056803,0.918258415264123,False,5290.050000000001,35,45,75,4.5
2172,5248.740000000001,52.48740000000001,1.0352894073082743,44.48891146720485,28.268876611418047,0.903990396456196,False,5248.740000000001,35,45,95,4.5
2207,5184.1900000000005,51.84190000000001,1.0343546099459975,52.12728894931382,28.318985047575897,0.768248948586705,False,5184.1900000000005,40,45,90,4.5
2146,5081.240000000001,50.812400000000004,1.0344548381197483,47.7095064554203,28.238583410997204,0.7871386900437316,False,5081.240000000001,30,45,95,4.5
2131,4926.830000000001,49.26830000000001,1.0335759192585428,47.05409977047893,28.296574378226186,0.7454141904404556,False,4926.830000000001,30,45,100,4.5
2175,4830.159999999998,48.30159999999998,1.0324538758689104,52.32509999999997,28.50574712643678,0.7619690647652246,False,4830.159999999998,25,45,80,4.5
2289,4827.6,48.276,1.0308897543030886,50.27103921134266,28.484054172127564,0.741229794133543,False,4827.6,40,45,75,4.5
2183,4767.6500000000015,47.67650000000002,1.0317970563954992,50.37828375748102,28.2638570774164,0.7103808445331827,False,4767.6500000000015,40,45,100,4.5
2125,4663.700000000003,46.63700000000002,1.0319269007671505,46.833744103962296,28.188235294117646,0.7244008629995919,False,4663.700000000003,25,45,95,4.5
2208,4604.5199999999995,46.045199999999994,1.030461789326135,46.973899999999986,28.442028985507246,0.7316810396197726,False,4604.5199999999995,25,45,75,4.5
2163,4477.509999999999,44.775099999999995,1.0295009329587443,45.68159976424898,27.27693018955155,0.7185099957314741,False,4477.509999999999,25,30,185,5.0
2191,4438.719999999999,44.38719999999999,1.028838418653182,38.82841479497869,27.339114559561846,0.8211503489970379,False,4438.719999999999,25,30,175,5.0
