trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,FastEMA,SlowEMA,TrendSMA,ATRMultiplier,TPRatio
3960,-927865.4800000001,-92.78654800000001,0.9273833052357549,94.64420181968286,33.131313131313135,-0.7585607881555865,False,-927865.4800000001,9,55,200,2.0,2.0
3595,-939579.4399999998,-93.95794399999998,0.8857412998055009,94.78390838556109,32.60083449235049,-0.9058564428111348,False,-939579.4399999998,13,55,200,2.0,2.0
4193,-960523.72,-96.05237199999999,0.8839780305789302,96.36304652781573,39.11280705938469,-0.9430265507600295,False,-960523.72,9,55,200,2.0,1.5
4036,-961689.4700000002,-96.16894700000002,0.8304475682427713,96.35740053463503,48.31516352824578,-0.9785530707793544,False,-961689.4700000002,13,55,200,2.0,1.0
3818,-962866.5700000001,-96.286657,0.843976751232956,96.89404881507492,38.55421686746988,-0.9066648460548457,False,-962866.5700000001,13,55,200,2.0,1.5
4762,-964825.8300000001,-96.482583,0.8972719444665639,97.21638603023214,32.99034019319614,-0.8115492325046746,False,-964825.8300000001,9,55,100,2.0,2.0
4901,-967947.0600000003,-96.79470600000003,0.9170981984264821,97.8482694957871,32.993266680269336,-0.678796569236219,False,-967947.0600000003,9,34,100,2.0,2.0
4249,-968830.6100000001,-96.88306100000001,0.8972419325907355,97.43995575889099,32.64297481760414,-0.8435401998940787,False,-968830.6100000001,13,34,200,2.0,2.0
4503,-973735.11,-97.37351100000001,0.8649608399654893,97.50955432409363,48.478791916500114,-0.9655972590759316,False,-973735.11,9,55,200,2.0,1.0
4869,-977073.7100000001,-97.70737100000001,0.867639141059411,97.75250000000001,48.552064078866294,-0.9995383340579524,False,-977073.7100000001,13,34,200,2.0,1.0
3930,-982228.3600000001,-98.22283600000002,0.8350004628404079,98.46355574879358,32.03562340966921,-0.9528406486187678,False,-982228.3600000001,13,55,200,1.5,2.0
5379,-983432.8999999999,-98.34329,0.8970756352455834,98.74723047520811,39.17084960029745,-0.7943711454569063,False,-983432.8999999999,9,34,100,2.0,1.5
5213,-983599.0200000001,-98.359902,0.8776476898065215,98.63864421927984,39.056205639746786,-0.8466549302639576,False,-983599.0200000001,9,55,100,2.0,1.5
4674,-984369.4100000001,-98.436941,0.8655909893134893,98.69440547708811,32.32777064612751,-0.8511876750143667,False,-984369.4100000001,9,34,200,2.0,2.0
4553,-985633.08,-98.56330799999999,0.8661491834968857,98.80589383730415,38.480122995826925,-0.8541578864794299,False,-985633.08,13,34,200,2.0,1.5
4750,-986400.1900000001,-98.640019,0.883870303064144,98.96299733480788,32.294736842105266,-0.7767979857688823,False,-986400.1900000001,13,34,100,2.0,2.0
4943,-986934.56,-98.693456,0.8797030531251598,98.85725953072706,39.045114303054824,-0.9160545293342224,False,-986934.56,13,34,200,1.5,1.5
4033,-987059.47,-98.705947,0.818909321368913,98.79256787680376,38.135383089511535,-0.9744031424631717,False,-987059.47,13,55,200,1.5,1.5
4438,-987694.3100000002,-98.76943100000003,0.8608108147776126,98.80482831846163,32.1991888237945,-0.99313096712811,False,-987694.3100000002,9,55,200,1.5,2.0
3311,-987851.68,-98.785168,0.7277663143512861,98.80215085364841,46.602234974328,-0.985850925122993,False,-987851.68,13,55,200,1.0,1.0
3244,-988386.76,-98.838676,0.736627786893191,98.86793492080133,31.1960542540074,-0.9878712986350844,False,-988386.76,13,55,200,1.0,2.0
5089,-988439.74,-98.843974,0.8949059333589398,99.14377488019507,32.44252308901552,-0.7545493185370673,False,-988439.74,13,21,100,2.0,2.0
4943,-988659.6599999998,-98.86596599999999,0.8862745752717247,99.03175726065831,32.32854541776249,-0.9629893867362839,False,-988659.6599999998,5,55,100,2.0,2.0
4671,-988800.6499999999,-98.880065,0.808404236088098,98.988612,47.95546992078784,-0.9989034395188812,False,-988800.6499999999,9,55,200,1.5,1.0
5703,-989064.72,-98.90647200000001,0.854219541481096,98.94890810138577,48.60599684376644,-0.9743034671201558,False,-989064.72,9,55,100,2.0,1.0
3261,-989708.19,-98.970819,0.725076957397948,98.99447066414824,37.16651333946642,-0.9928330127677217,False,-989708.19,13,55,200,1.0,1.5
3719,-990726.47,-99.072647,0.7590342755549204,99.1161809999997,37.75208389351976,-0.9995607780731613,False,-990726.47,9,55,200,1.0,1.5
6001,-990854.8700000001,-99.08548700000001,0.8656024838302211,99.1776009481609,48.57523746042327,-0.9612140843009475,False,-990854.8700000001,9,34,100,2.0,1.0
4749,-991082.1999999998,-99.10821999999997,0.8745214674500253,99.23861204153641,32.38576542429985,-0.8816639559898469,False,-991082.1999999998,13,34,200,1.5,2.0
4594,-991140.64,-99.114064,0.8627824389340679,99.15470984892718,38.376142794949935,-0.9975392156432555,False,-991140.64,9,55,200,1.5,1.5
4112,-991288.43,-99.128843,0.7591429321564902,99.14804500000001,47.00875486381323,-0.9998063300189126,False,-991288.43,13,55,200,1.5,1.0
4859,-991291.6699999999,-99.129167,0.865427836021616,99.24397797174237,38.320642107429514,-0.9826264182358427,False,-991291.6699999999,5,55,200,2.0,1.5
5483,-991568.1099999999,-99.15681099999999,0.8773143412366168,99.33689011863957,38.75615538938537,-0.9315586045070077,False,-991568.1099999999,5,55,100,2.0,1.5
5417,-991730.3200000001,-99.173032,0.8334289378665063,99.22659256080235,47.97858593317335,-0.9743833058000136,False,-991730.3200000001,13,55,100,2.0,1.0
