trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,RatioTP
4362,-984178.66,-98.417866,0.7979159757350919,98.5577711207819,33.3791838606144,-0.9848897306877625,False,-984178.66,30,60,2.0
4101,-985917.4199999998,-98.59174199999998,0.7948067451789746,98.62926899999998,29.407461594732993,-0.9996195145682363,False,-985917.4199999998,30,60,2.5
4735,-990349.16,-99.03491600000001,0.8026291780818718,99.04536407021178,38.73284054910243,-0.9890695809017952,False,-990349.16,30,60,1.5
4840,-991921.4500000001,-99.19214500000001,0.8165792045394268,99.29189314986199,33.057851239669425,-0.9793204650241026,False,-991921.4500000001,20,60,2.0
4579,-992616.09,-99.26160899999999,0.8174808965760847,99.31447265176051,29.045643153526974,-0.9710682506007704,False,-992616.09,20,60,2.5
4849,-993402.1200000001,-99.34021200000002,0.8274722130125007,99.45779854988017,33.01711693132604,-0.9730844475831787,False,-993402.1200000001,20,50,2.0
4508,-994106.8300000001,-99.410683,0.8040822525675967,99.48014891210204,32.786157941437445,-0.9709749064145274,False,-994106.8300000001,30,50,2.0
5235,-994178.0100000001,-99.41780100000001,0.8233331805042101,99.42468364759975,38.7774594078319,-0.9881097808086086,False,-994178.0100000001,20,60,1.5
4575,-994701.4999999999,-99.47014999999999,0.8343554653148628,99.49974956349926,29.158469945355193,-0.9724684402840067,False,-994701.4999999999,20,50,2.5
4248,-994914.1799999999,-99.491418,0.8185534296007017,99.50828780331528,28.86064030131827,-0.9752392546663055,False,-994914.1799999999,30,50,2.5
4800,-995484.57,-99.54845699999998,0.8365287066674648,99.58354592184129,32.75,-0.9570349630143292,False,-995484.57,30,40,2.0
4915,-995692.99,-99.569299,0.829866684136339,99.63040127812289,32.675483214649034,-0.9785338124779112,False,-995692.99,20,40,2.0
4548,-995951.6399999998,-99.59516399999998,0.8441507602145805,99.61572151920174,28.935795954265615,-0.956549785589903,False,-995951.6399999998,30,40,2.5
4669,-996061.44,-99.606144,0.8415929214418839,99.61949975028028,28.89269650888841,-0.9794689230140862,False,-996061.44,20,40,2.5
5647,-996095.0599999999,-99.609506,0.8261518006896065,99.64023864975653,33.11492828050292,-0.9900033220585457,False,-996095.0599999999,10,50,2.0
4858,-996619.9900000001,-99.66199900000001,0.8166828770125295,99.67099674012603,38.01976121860848,-0.9893703589076978,False,-996619.9900000001,30,50,1.5
5349,-996677.38,-99.667738,0.8163080009891616,99.69333779880265,29.201719947653764,-0.9884400272294749,False,-996677.38,10,60,2.5
5224,-997029.98,-99.702998,0.8215706389466907,99.71519215036913,38.30398162327718,-0.9782820747092432,False,-997029.98,20,50,1.5
5328,-997085.6900000001,-99.708569,0.8225478753429253,99.71457395528306,29.11036036036036,-0.9886343688704006,False,-997085.6900000001,10,50,2.5
5656,-997193.0,-99.7193,0.8122502379455934,99.7438184365655,32.99151343705799,-0.9912439010413164,False,-997193.0,10,60,2.0
5592,-997700.8700000001,-99.770087,0.8253771584487619,99.78401291630043,32.70743919885551,-0.9879995443936708,False,-997700.8700000001,10,40,2.0
5322,-997723.1300000001,-99.77231300000001,0.8253171727235048,99.78101357013175,38.10597519729425,-0.9791369564649904,False,-997723.1300000001,20,40,1.5
5211,-998035.71,-99.80357099999999,0.8335260872693183,99.80872181732684,37.977355593935904,-0.9737274608207771,False,-998035.71,30,40,1.5
5311,-998134.66,-99.813466,0.8331652694619206,99.82263479482964,28.789305215590282,-0.9840853749848832,False,-998134.66,10,40,2.5
6035,-998145.5500000002,-99.81455500000001,0.8156281482144317,99.8162361816681,38.57497928748964,-0.9909176480375698,False,-998145.5500000002,10,50,1.5
5982,-998510.2899999999,-99.851029,0.7970054285129162,99.85188591698947,38.5489802741558,-0.9942392271854649,False,-998510.2899999999,10,60,1.5
6042,-998839.9400000001,-99.88399400000002,0.8249263640425221,99.88637202431298,38.24892419728567,-0.9894396498736189,False,-998839.9400000001,10,40,1.5
