trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,RatioTP
4467,-968950.94,-96.89509399999999,0.8414005939490027,97.02218511746237,29.482874412357283,-0.9813369629852718,False,-968950.94,30,40,2.5
4610,-976842.79,-97.684279,0.8314509767393522,97.78354475547783,29.002169197396967,-0.9796236771209562,False,-976842.79,20,40,2.5
4240,-976932.0700000001,-97.693207,0.8014409838298431,97.81045001366562,28.915094339622645,-0.9713913605325698,False,-976932.0700000001,30,50,2.5
4197,-978767.46,-97.876746,0.8125869186260313,97.99087282358566,28.568024779604478,-0.9684462537352765,False,-978767.46,30,60,2.5
4673,-983680.9299999999,-98.36809299999999,0.8241094218457772,98.42143981262589,32.998074042371066,-0.9857948783951784,False,-983680.9299999999,30,40,2.0
4583,-984760.1400000001,-98.476014,0.790391408676428,98.52637453330864,28.60571677940214,-0.990167543974396,False,-984760.1400000001,20,50,2.5
4826,-984875.84,-98.487584,0.8232887284291008,98.53997933201045,32.73932863655201,-0.9848672716547361,False,-984875.84,20,40,2.0
4454,-984990.13,-98.499013,0.8064772467016844,98.5959423216714,32.46519982038617,-0.9527511186691826,False,-984990.13,30,50,2.0
5163,-986224.5000000001,-98.62245000000001,0.7978293528940333,98.68873586227832,38.38853379817935,-0.965032879777188,False,-986224.5000000001,20,40,1.5
4372,-986304.43,-98.630443,0.7972561194423687,98.71333745686924,32.09057639524245,-0.9571474502266389,False,-986304.43,30,60,2.0
4997,-986590.29,-98.659029,0.7938807790597692,98.72390367399828,38.38302981789074,-0.9649537307663331,False,-986590.29,30,40,1.5
4784,-989463.3700000001,-98.946337,0.7955639997739734,99.00942891522605,32.31605351170568,-0.9578879723501534,False,-989463.3700000001,20,50,2.0
4721,-990562.1500000001,-99.05621500000001,0.7597764562973257,99.08999928211774,37.576784579538234,-0.9779745998068989,False,-990562.1500000001,30,50,1.5
4650,-990940.68,-99.09406800000001,0.7630317241366513,99.13356740111625,37.24731182795699,-0.9699658665121017,False,-990940.68,30,60,1.5
4647,-992231.1500000001,-99.22311500000002,0.779547689518581,99.2647970928429,27.867441360017214,-0.9690073292526569,False,-992231.1500000001,20,60,2.5
5087,-993344.69,-99.334469,0.7484735814808394,99.36401613700335,37.64497739335561,-0.9692318114557833,False,-993344.69,20,50,1.5
4850,-994818.73,-99.481873,0.7793282016260933,99.51279104270344,31.587628865979383,-0.9579921605784183,False,-994818.73,20,60,2.0
5313,-995832.87,-99.583287,0.77094545855454,99.61101327627954,28.28910220214568,-0.9555152205873403,False,-995832.87,10,40,2.5
5166,-996024.6900000001,-99.602469,0.7455005367531476,99.61994781953261,37.04994192799071,-0.9692765819094562,False,-996024.6900000001,20,60,1.5
5965,-996883.9700000001,-99.68839700000001,0.742651182308883,99.70934301304575,37.73679798826488,-0.945765568031623,False,-996883.9700000001,10,40,1.5
5592,-997341.19,-99.73411899999999,0.76118336049073,99.74770006805912,31.95636623748212,-0.9671610362514824,False,-997341.19,10,40,2.0
5343,-997959.03,-99.79590300000001,0.7296635916714601,99.8076742819993,27.73722627737226,-0.9652167822264595,False,-997959.03,10,50,2.5
5642,-998134.47,-99.813447,0.7456835373471109,99.82168844117723,31.495923431407302,-0.973996280557566,False,-998134.47,10,50,2.0
5985,-998257.0299999999,-99.82570299999999,0.7217744300035047,99.83667868173296,37.25981620718463,-0.9495430501904505,False,-998257.0299999999,10,50,1.5
5964,-998765.1399999999,-99.876514,0.7112595621288653,99.88438790069021,36.98859825620389,-0.9495111752895393,False,-998765.1399999999,10,60,1.5
5406,-998957.21,-99.895721,0.7389135671728985,99.90411334823062,27.044025157232703,-0.9589969483678807,False,-998957.21,10,60,2.5
5678,-999241.99,-99.924199,0.7369525753294296,99.92798054356304,30.943994364212752,-0.9649190195903827,False,-999241.99,10,60,2.0
